template_id,source_deck,source_slide,category,purpose,recommended_usage
TPL-001,COLOUR AS CODE THEORY,1,Image-Led,Use visuals as the primary communication vehicle with minimal supporting copy.,"Visual analysis, exemplars, and mood-board references."
TPL-002,COLOUR AS CODE THEORY,2,Quote / Testimonial,Anchor interpretation with a quote or external perspective.,Framing interpretation via external voice.
TPL-003,COLOUR AS CODE THEORY,3,Section Divider,Separate content blocks and reset learner attention before a new concept.,Transitioning between modules or learning moments.
TPL-004,COLOUR AS CODE THEORY,4,Reflection / Discussion,"Prompt learner reflection, response, or discussion.",Prompting reflective writing/discussion.
TPL-005,COLOUR AS CODE THEORY,5,Image-Led,Use visuals as the primary communication vehicle with minimal supporting copy.,"Visual analysis, exemplars, and mood-board references."
TPL-006,COLOUR AS CODE THEORY,6,Reflection / Discussion,"Prompt learner reflection, response, or discussion.",Prompting reflective writing/discussion.
TPL-007,COLOUR AS CODE THEORY,7,Process / Sequence,"Explain steps or chronology in a linear, guided progression.",Showing method progression and inquiry pathways.
TPL-008,COLOUR AS CODE THEORY,8,Image-Led,Use visuals as the primary communication vehicle with minimal supporting copy.,"Visual analysis, exemplars, and mood-board references."
TPL-009,COLOUR AS CODE THEORY,9,Section Divider,Separate content blocks and reset learner attention before a new concept.,Transitioning between modules or learning moments.
TPL-010,EARTH & ECHO_TASK & THEORY ,1,Image-Led,Use visuals as the primary communication vehicle with minimal supporting copy.,"Visual analysis, exemplars, and mood-board references."
TPL-011,EARTH & ECHO_TASK & THEORY ,2,Reflection / Discussion,"Prompt learner reflection, response, or discussion.",Prompting reflective writing/discussion.
TPL-012,EARTH & ECHO_TASK & THEORY ,3,Agenda / Overview,Outline what will be covered before detailed instruction begins.,Setting session expectations and flow.
TPL-013,EARTH & ECHO_TASK & THEORY ,4,Image-Led,Use visuals as the primary communication vehicle with minimal supporting copy.,"Visual analysis, exemplars, and mood-board references."
TPL-014,EARTH & ECHO_TASK & THEORY ,5,Image-Led,Use visuals as the primary communication vehicle with minimal supporting copy.,"Visual analysis, exemplars, and mood-board references."
TPL-015,EARTH & ECHO_TASK & THEORY ,6,Reflection / Discussion,"Prompt learner reflection, response, or discussion.",Prompting reflective writing/discussion.
TPL-016,EARTH & ECHO_TASK & THEORY ,7,Reflection / Discussion,"Prompt learner reflection, response, or discussion.",Prompting reflective writing/discussion.
TPL-017,EARTH & ECHO_TASK & THEORY ,8,Image-Led,Use visuals as the primary communication vehicle with minimal supporting copy.,"Visual analysis, exemplars, and mood-board references."
TPL-018,EARTH & ECHO_TASK & THEORY ,9,Image-Led,Use visuals as the primary communication vehicle with minimal supporting copy.,"Visual analysis, exemplars, and mood-board references."
TPL-019,EARTH & ECHO_TASK & THEORY ,10,Image-Led,Use visuals as the primary communication vehicle with minimal supporting copy.,"Visual analysis, exemplars, and mood-board references."
TPL-020,INTRO - ARTS AS LENS,1,Section Divider,Separate content blocks and reset learner attention before a new concept.,Transitioning between modules or learning moments.
TPL-021,INTRO - ARTS AS LENS,2,Process / Sequence,"Explain steps or chronology in a linear, guided progression.",Showing method progression and inquiry pathways.
TPL-022,INTRO - ARTS AS LENS,3,Callout / Highlight,Focus attention on selected references with annotations.,Annotated artist reference discussions.
TPL-023,INTRO - ARTS AS LENS,4,Section Divider,Separate content blocks and reset learner attention before a new concept.,Transitioning between modules or learning moments.
TPL-024,INTRO - ARTS AS LENS,5,Process / Sequence,"Explain steps or chronology in a linear, guided progression.",Showing method progression and inquiry pathways.
TPL-025,INTRO - ARTS AS LENS,6,Comparison,"Contrast two references, methods, or outcomes side-by-side.","Judging alternatives, references, or interpretations."
TPL-026,INTRO - ARTS AS LENS,7,Reflection / Discussion,"Prompt learner reflection, response, or discussion.",Prompting reflective writing/discussion.
TPL-027,INTRO - ARTS AS LENS,8,Callout / Highlight,Focus attention on selected references with annotations.,Annotated artist reference discussions.
TPL-028,INTRO - ARTS AS LENS,9,Reflection / Discussion,"Prompt learner reflection, response, or discussion.",Prompting reflective writing/discussion.
TPL-029,TASK 1 - Abstracting a Personal Place Theory,1,Reflection / Discussion,"Prompt learner reflection, response, or discussion.",Prompting reflective writing/discussion.
TPL-030,TASK 1 - Abstracting a Personal Place Theory,2,Reflection / Discussion,"Prompt learner reflection, response, or discussion.",Prompting reflective writing/discussion.
TPL-031,TASK 1 - Abstracting a Personal Place Theory,3,Reflection / Discussion,"Prompt learner reflection, response, or discussion.",Prompting reflective writing/discussion.
TPL-032,TASK 1 - Abstracting a Personal Place Theory,4,Reflection / Discussion,"Prompt learner reflection, response, or discussion.",Prompting reflective writing/discussion.
TPL-033,TASK 1 - Abstracting a Personal Place Theory,5,Image-Led,Use visuals as the primary communication vehicle with minimal supporting copy.,"Visual analysis, exemplars, and mood-board references."
TPL-034,TASK 1 - Abstracting a Personal Place Theory,6,Reflection / Discussion,"Prompt learner reflection, response, or discussion.",Prompting reflective writing/discussion.
TPL-035,TASK 1 - Abstracting a Personal Place Theory,7,Image-Led,Use visuals as the primary communication vehicle with minimal supporting copy.,"Visual analysis, exemplars, and mood-board references."
TPL-036,TASK 1 - Abstracting a Personal Place Theory,8,Data / Infographic,"Present structured evidence, tables, or quantified comparisons.","Criteria tables, comparison matrices, and structured evidence."
TPL-037,TASK 1 - Abstracting a Personal Place Theory,9,Reflection / Discussion,"Prompt learner reflection, response, or discussion.",Prompting reflective writing/discussion.
TPL-038,TASK 1 - Abstracting a Personal Place Theory,10,Process / Sequence,"Explain steps or chronology in a linear, guided progression.",Showing method progression and inquiry pathways.
TPL-039,Yr7 Visual Art_ Making and Reflective Portfolio Template ,1,Reflection / Discussion,"Prompt learner reflection, response, or discussion.",Prompting reflective writing/discussion.
TPL-040,Yr7 Visual Art_ Making and Reflective Portfolio Template ,2,Reflection / Discussion,"Prompt learner reflection, response, or discussion.",Prompting reflective writing/discussion.
TPL-041,Yr7 Visual Art_ Making and Reflective Portfolio Template ,3,Reflection / Discussion,"Prompt learner reflection, response, or discussion.",Prompting reflective writing/discussion.
TPL-042,Yr7 Visual Art_ Making and Reflective Portfolio Template ,4,Reflection / Discussion,"Prompt learner reflection, response, or discussion.",Prompting reflective writing/discussion.
TPL-043,Yr7 Visual Art_ Making and Reflective Portfolio Template ,5,Section Divider,Separate content blocks and reset learner attention before a new concept.,Transitioning between modules or learning moments.
